2021-09-05 21:06:06.3342|Microsoft.Hosting.Lifetime|INFO|1:|Content root path: /home/kamil/RiderProjects/AccountService/AccountService 
2021-09-05 21:29:25.9761|Microsoft.Hosting.Lifetime|INFO|51:|Application is shutting down... 
2021-09-05 21:37:53.9252|Microsoft.EntityFrameworkCore.Model.Validation|WARN|1:|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. 
2021-09-05 21:37:54.6856|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: https://localhost:5001 
2021-09-05 21:37:54.6856|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: http://localhost:5000 
2021-09-05 21:37:54.6873|Microsoft.Hosting.Lifetime|INFO|1:|Application started. Press Ctrl+C to shut down. 
2021-09-05 21:37:54.6873|Microsoft.Hosting.Lifetime|INFO|1:|Hosting environment: Development 
2021-09-05 21:37:54.6873|Microsoft.Hosting.Lifetime|INFO|1:|Content root path: /home/kamil/RiderProjects/AccountService/AccountService 
2021-09-05 21:40:01.8231|Microsoft.Hosting.Lifetime|INFO|21:|Application is shutting down... 
2021-09-05 21:49:39.1325|Microsoft.EntityFrameworkCore.Model.Validation|WARN|1:|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. 
2021-09-05 21:49:39.8318|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: https://localhost:5001 
2021-09-05 21:49:39.8331|Microsoft.Hosting.Lifetime|INFO|1:|Now listening on: http://localhost:5000 
2021-09-05 21:49:39.8331|Microsoft.Hosting.Lifetime|INFO|1:|Application started. Press Ctrl+C to shut down. 
2021-09-05 21:49:39.8331|Microsoft.Hosting.Lifetime|INFO|1:|Hosting environment: Development 
2021-09-05 21:49:39.8331|Microsoft.Hosting.Lifetime|INFO|1:|Content root path: /home/kamil/RiderProjects/AccountService/AccountService 
